CİNSİ	STOK İSMİ	STOK KODU
İlk madde ve malzeme	304 - PASLANMAZ SAC 0.60 mm	150.01.P304-060
İlk madde ve malzeme	304 - PASLANMAZ SAC 0.61 mm	150.01.P304-061
İlk madde ve malzeme	304 - PASLANMAZ SAC 0.62 mm	150.01.P304-062
İlk madde ve malzeme	304 - PASLANMAZ SAC 0.65 mm	150.01.P304-065
İlk madde ve malzeme	304 - PASLANMAZ SAC 0.66 mm	150.01.P304-066
İlk madde ve malzeme	304 - PASLANMAZ SAC 0.67 mm	150.01.P304-067
İlk madde ve malzeme	304 - PASLANMAZ SAC 0.68 mm	150.01.P304-068
İlk madde ve malzeme	304 - PASLANMAZ SAC 0.69 mm	150.01.P304-069
İlk madde ve malzeme	304 - PASLANMAZ SAC 0.70 mm	150.01.P304-070
İlk madde ve malzeme	304 - PASLANMAZ SAC 0.71 mm	150.01.P304-071
İlk madde ve malzeme	304 - PASLANMAZ SAC 0.72 mm	150.01.P304-072
İlk madde ve malzeme	304 - PASLANMAZ SAC 0.73 mm	150.01.P304-073
İlk madde ve malzeme	304 - PASLANMAZ SAC 0.74 mm	150.01.P304-074
İlk madde ve malzeme	304 - PASLANMAZ SAC 0.75 mm	150.01.P304-075
İlk madde ve malzeme	304 - PASLANMAZ SAC 0.76 mm	150.01.P304-076
